formation_date,effective_date,signal_date,variant,lexicon,lambda,direction,ticker,sector,base_weight,ticker_z,tilt_multiplier,pre_normalisation_weight,target_weight,signal_available,clipped_to_zero,fallback_used
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,PSA,RealEstate,0.0,,1.0,0.0,0.0,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,QCOM,Tech,0.0,,1.0,0.0,0.0,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,SBUX,Consumer,0.0,,1.0,0.0,0.0,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,SHW,Materials,0.0,,1.0,0.0,0.0,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,SLB,Energy,0.0,,1.0,0.0,0.0,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,SO,Utilities,0.0,,1.0,0.0,0.0,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,T,Comm,0.032989013001133,,1.0,0.032989013001133,0.032989013001133,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,TMUS,Comm,0.0343601582181247,,1.0,0.0343601582181247,0.0343601582181247,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,TTWO,Comm,0.0158777786920197,,1.0,0.0158777786920197,0.0158777786920197,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,UPS,Industrials,0.0,,1.0,0.0,0.0,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,USB,Financials,0.0,,1.0,0.0,0.0,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,V,Financials,0.0182623456909401,,1.0,0.0182623456909401,0.0182623456909401,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,WFC,Financials,0.0,,1.0,0.0,0.0,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,WMT,Consumer,0.1807656493227264,,1.0,0.1807656493227264,0.1807656493227264,False,False,False
2023-08-31,2023-09-01,2023-08-31,Equity-Only Minimum Variance,none,0.0,base,XOM,Energy,0.0135369494366703,,1.0,0.0135369494366703,0.0135369494366703,False,False,False
2023-09-29,2023-10-02,2023-09-29,Equity-Only Minimum Variance,none,0.0,base,ABBV,Healthcare,0.0622695892060158,,1.0,0.0622695892060158,0.0622695892060158,False,False,False
2023-09-29,2023-10-02,2023-09-29,Equity-Only Minimum Variance,none,0.0,base,ABT,Healthcare,0.0,,1.0,0.0,0.0,False,False,False
2023-09-29,2023-10-02,2023-09-29,Equity-Only Minimum Variance,none,0.0,base,ADBE,Tech,0.0,,1.0,0.0,0.0,False,False,False
2023-09-29,2023-10-02,2023-09-29,Equity-Only Minimum Variance,none,0.0,base,AEP,Utilities,0.0,,1.0,0.0,0.0,False,False,False
2023-09-29,2023-10-02,2023-09-29,Equity-Only Minimum Variance,none,0.0,base,AMD,Tech,0.0,,1.0,0.0,0.0,False,False,False
