date,ticker,extended_z_expanding
2021-08-25,SO,
2021-08-25,T,0.9851625021865765
2021-08-25,TMUS,
2021-08-25,TTWO,
2021-08-25,UPS,0.14685621111821026
2021-08-25,USB,
2021-08-25,V,1.5309730526638354
2021-08-25,WFC,
2021-08-25,WMT,0.10543073484523179
2021-08-25,XOM,0.007620811569651643
2021-08-26,ABBV,-0.5010849138577946
2021-08-26,ABT,
2021-08-26,ADBE,
2021-08-26,AEP,
2021-08-26,AMD,0.7080951009609505
2021-08-26,AMGN,2.777428826778171
2021-08-26,AMT,
2021-08-26,BA,
2021-08-26,CAT,-0.23224517732895822
2021-08-26,CCI,
2021-08-26,CMCSA,
2021-08-26,COP,-0.18375007571670557
2021-08-26,CVX,-0.43907959421421955
2021-08-26,D,
2021-08-26,DD,
2021-08-26,DIS,-0.9422020357286175
2021-08-26,DOW,
2021-08-26,DUK,
2021-08-26,EA,
2021-08-26,GE,-0.31970984886230874
2021-08-26,GILD,1.4569940269308972
2021-08-26,GS,-2.626084781483468
2021-08-26,INTC,0.1212917665331522
2021-08-26,KO,-0.4058234583738036
2021-08-26,MMM,-0.11797040802994808
2021-08-26,MRK,-0.66918200955216
2021-08-26,MS,0.5989398637102036
2021-08-26,NEE,
2021-08-26,NEM,-0.1609311127895229
2021-08-26,NKE,0.336430305569703
2021-08-26,NUE,
2021-08-26,NVDA,
2021-08-26,O,
2021-08-26,OXY,-0.1138908838505549
2021-08-26,PLD,
2021-08-26,PSA,
2021-08-26,QCOM,
2021-08-26,SBUX,-0.62894802068257
2021-08-26,SHW,
2021-08-26,SLB,-0.9268039165164935
2021-08-26,SO,
2021-08-26,T,-0.5690404173057876
2021-08-26,TMUS,0.672490239593414
2021-08-26,TTWO,-0.37187519804235736
2021-08-26,UPS,-0.5517709641287589
2021-08-26,USB,-0.3387617409703052
2021-08-26,V,-0.31824388627912564
2021-08-26,WFC,-0.7018041147407937
2021-08-26,WMT,-0.3535389473568526
2021-08-26,XOM,0.041671510287568624
2021-08-27,ABBV,1.3967941521010345
2021-08-27,ABT,0.18107265997149938
2021-08-27,ADBE,-0.7522681845496053
2021-08-27,AEP,
2021-08-27,AMD,0.9658660183092415
2021-08-27,AMGN,
2021-08-27,AMT,
2021-08-27,BA,
2021-08-27,CAT,
2021-08-27,CCI,
2021-08-27,CMCSA,0.8993271654983817
2021-08-27,COP,
2021-08-27,CVX,1.0147868919876735
2021-08-27,D,
2021-08-27,DD,
2021-08-27,DIS,0.3128892473402719
2021-08-27,DOW,-0.15799224950711133
2021-08-27,DUK,
2021-08-27,EA,2.576725214888984
2021-08-27,GE,0.03803182243720864
2021-08-27,GILD,2.019724892501797
